move,move
big,big
right,right
toe,toe
dug,dug
cure,cure
begged,begged
sew,sew
mouth,mouth
make,make
goddamn,god-damn
sure,sure
wicked,wick-ed
city,cit-y
gaped,gaped
gates,gates
temple,tem-ple
screamed,screamed
ziggurat,zig-gu-rat
gabbled,gab-bled
grief,grief
sucked,sucked
sorrows,sor-rows
joys,joys
thoughts,thoughts
advancing,ad-vanc-ing
wolves,wolves
half,half
reared,reared
onto,on-to
rickety,rick-et-y
legs,legs
newborn,new-born
calf,calf
hall,hall
stairs,stairs
porch,porch
stoop,stoop
street,street
humanly,hu-man-ly
warm,warm
soles,soles
naked,na-ked
feet,feet
stiffened,stiff-ened
fear,fear
took,took
going,go-ing
into,in-to
terrible,ter-ri-ble
children,chil-dren
daffodils,daf-fo-dils
growing,grow-ing
friendly,friend-ly
super,su-per
doing,do-ing
mowing,mow-ing
sisters,sis-ters
wool,wool
sweaters,sweat-ers
wrinkled,wrin-kled
cheeks,cheeks
glowing,glow-ing
pretty,pret-ty
lady,la-dy
give,give
birth,birth
christmas,christ-mas
barely,bare-ly
showing,show-ing
policeman,po-lice-man
helping,help-ing
lazy,la-zy
traffic,traf-fic
flowing,flow-ing
itself,it-self
slowing,slow-ing
none,none
them,them
knowing,know-ing
odious,o-di-ous
axis,ax-is
forming,form-ing
controlled,con-trolled
schemes,schemes
afoot,a-foot
foot,foot
thing,thing
jackboot,jack-boot
hold,hold
movie,mov-ie
sunny,sun-ny
creditor,cred-i-tor
calling,call-ing
could,could
paid,paid
sliver,sliv-er
iron,i-ron
held,held
lodestone,lode-stone
stir,stir
stand,stand
slowly,slow-ly
changing,chang-ing
famous,fa-mous
doctor,doc-tor
television,tel-e-vi-sion
friends,friends
these,these
facts,facts
lies,lies
tell,tell
enemies,en-e-mies
felt,felt
hot,hot
breath,breath
kept,kept
tried,tried
play,play
along,a-long
toward,to-ward
wrong,wrong
notice,no-tice
numbers,num-bers
painted,paint-ed
garbage,gar-bage
cans,cans
look,look
black,black
sedans,se-dans
coffee,cof-fee
different,dif-fer-ent
inside,in-side
waitress,wait-ress
winked,winked
wide,wide
away,a-way
really,re-al-ly
machines,ma-chines
smiled,smiled
stare,stare
power,pow-er
yours,yours
t,t
shirt,shirt
lightning,light-ning
reported,re-port-ed
weather,weath-er
stranger,strang-er
offered,of-fered
sports,sports
section,sec-tion
its,its
chief,chief
put,put
together,to-geth-er
wild,wild
eyed,eyed
stormed,stormed
man,man
shouting,shout-ing
strange,strange
language,lan-guage
waving,wav-ing
frying,fry-ing
pan,pan
shoving,shov-ing
chattering,chat-ter-ing
pointing,point-ing
bare,bare
dark,dark
blue,blue
uniform,u-ni-form
badge,badge
glinting,glint-ing
jangling,jan-gling
storm,storm
troopers,troop-ers
boots,boots
broke,broke
patrolman,pa-trol-man
johnny,john-ny
law,law
knee,knee
neck,neck
cuffs,cuffs
curb,curb
jaw,jaw
flatfoot,flat-foot
pushed,pushed
bleeding,bleed-ing
sleek,sleek
cruiser,cruis-er
heard,heard
loser,los-er
chin,chin
throbbed,throbbed
handcuffs,hand-cuffs
ate,ate
wrist,wrist
hacked,hacked
pieces,piec-es
soon,soon
missed,missed
victim,vic-tim
threat,threat
angry,an-gry
response,re-sponse
get,get
lying,ly-ing
end,end
gazed,gazed
watched,watched
slip,slip
pen,pen
toilet,toi-let
stall,stall
message,mes-sage
scarred,scarred
gloss,gloss
trapped,trapped
fly,fly
ticking,tick-ing
ceiling,ceil-ing
overhead,o-ver-head
sore,sore
congealing,con-geal-ing
other,oth-er
pigs,pigs
pens,pens
squealing,squeal-ing
men,men
ready,read-y
talked,talked
across,a-cross
town,town
mirrored,mir-rored
building,build-ing
over,o-ver
waxed,waxed
lobby,lob-by
floors,floors
miles,miles
echoing,ech-o-ing
hallways,hall-ways
heavy,heav-y
doors,doors
